2024-01-02,1
2024-01-03,1
2024-01-04,2
2024-01-05,3
2024-01-06,2
2024-01-07,3
2024-01-08,6
2024-01-09,7
2024-01-10,5
2024-01-11,6
2024-01-12,6
2024-01-13,8
2024-01-14,8
2024-01-15,8
2024-01-16,8
2024-01-17,16
2024-01-18,18
2024-01-19,11
2024-01-20,11
2024-01-21,12
2024-01-22,12
2024-01-23,15
2024-01-24,14
2024-01-25,18
2024-01-26,16
2024-01-27,12
2024-01-28,12
2024-01-29,18
2024-01-30,18
2024-01-31,15
2024-02-01,12
2024-02-02,16
2024-02-03,13
2024-02-04,16
2024-02-05,18
2024-02-06,19
2024-02-07,13
2024-02-08,24
2024-02-09,16
2024-02-10,25
2024-02-11,25
2024-02-12,31
2024-02-13,31
2024-02-14,32
2024-02-15,17
2024-02-16,21
2024-02-17,28
2024-02-18,29
2024-02-19,24
2024-02-20,23
2024-02-21,29
2024-02-22,34
2024-02-23,26
2024-02-24,27
2024-02-25,24
2024-02-26,33
2024-02-27,32
2024-02-28,30
2024-02-29,37
2024-03-01,44
2024-03-02,30
2024-03-03,37
2024-03-04,42
2024-03-05,37
2024-03-06,42
2024-03-07,31
2024-03-08,29
2024-03-09,38
2024-03-10,35
2024-03-11,36
2024-03-12,33
2024-03-13,35
2024-03-14,36
2024-03-15,51
2024-03-16,41
2024-03-17,45
2024-03-18,45
2024-03-19,49
2024-03-20,36
2024-03-21,51
2024-03-22,38
2024-03-23,53
2024-03-24,56
2024-03-25,60
2024-03-26,47
2024-03-27,46
2024-03-28,43
2024-03-29,56
2024-03-30,47
2024-03-31,50
2024-04-01,44
2024-04-02,45
2024-04-03,53
2024-04-04,40
2024-04-05,35
2024-04-06,57
2024-04-07,51
2024-04-08,54
2024-04-09,47
2024-04-10,55
2024-04-11,61
2024-04-12,49
2024-04-13,51
2024-04-14,43
2024-04-15,59
2024-04-16,46
2024-04-17,54
2024-04-18,51
2024-04-19,48
2024-04-20,51
2024-04-21,37
2024-04-22,43
2024-04-23,41
2024-04-24,48
2024-04-25,51
2024-04-26,49
2024-04-27,42
2024-04-28,51
2024-04-29,35
2024-04-30,43
2024-05-01,38
2024-05-02,45
2024-05-03,49
2024-05-04,45
2024-05-05,53
2024-05-06,43
2024-05-07,48
2024-05-08,49
2024-05-09,39
2024-05-10,56
2024-05-11,51
2024-05-12,44
2024-05-13,49
2024-05-14,54
2024-05-15,41
2024-05-16,43
2024-05-17,39
2024-05-18,35
2024-05-19,38
2024-05-20,39
2024-05-21,39
2024-05-22,33
2024-05-23,32
2024-05-24,32
2024-05-25,33
2024-05-26,32
2024-05-27,31
2024-05-28,48
2024-05-29,41
2024-05-30,38
2024-05-31,30
2024-06-01,40
2024-06-02,18
2024-06-03,32
2024-06-04,33
2024-06-05,19
2024-06-06,41
2024-06-07,31
2024-06-08,24
2024-06-09,18
2024-06-10,26
2024-06-11,26
2024-06-12,19
2024-06-13,19
2024-06-14,21
2024-06-15,28
2024-06-16,24
2024-06-17,19
2024-06-18,24
2024-06-19,21
2024-06-20,20
2024-06-21,21
2024-06-22,18
2024-06-23,33
2024-06-24,18
2024-06-25,21
2024-06-26,12
2024-06-27,22
2024-06-28,14
2024-06-29,15
2024-06-30,22
2024-07-01,12
2024-07-02,14
2024-07-03,20
2024-07-04,17
2024-07-05,11
2024-07-06,18
2024-07-07,6
2024-07-08,13
2024-07-09,7
2024-07-10,6
2024-07-11,14
2024-07-12,14
2024-07-13,1
2024-07-14,5
2024-07-15,6
2024-07-16,3
2024-07-17,8
2024-07-18,5
2024-07-19,5
2024-07-20,7
2024-07-21,6
2024-07-22,3
2024-07-23,4
2024-07-24,2
2024-07-25,1
2024-07-26,1
